Strain,Condition,Volume,Dilution_1,Dilution_2,Colonies_1A,Colonies_1B,Colonies_2A,Colonies_2B,Titre
DG026 #7,LB,0.01,1e-06,1e-05,1,4,32,25,281818181.8
DG026 #8,LB,0.01,1e-06,1e-05,4,2,32,38,345454545.5
DG026 #9,LB,0.01,1e-06,1e-05,2,5,29,39,340909090.9
DG026 #10,LB,0.01,1e-06,1e-05,2,6,26,33,304545454.5
DG026 #11,LB,0.01,1e-06,1e-05,6,4,31,36,350000000.0
DG027 #1,LB,0.01,1e-06,1e-05,1,2,26,18,213636363.6
DG027 #2,LB,0.01,1e-06,1e-05,6,6,20,19,231818181.8
DG027 #3,LB,0.01,1e-06,1e-05,4,1,20,16,186363636.4
DG027 #4,LB,0.01,1e-06,1e-05,2,2,21,28,240909090.9
DG027 #5,LB,0.01,1e-06,1e-05,2,1,29,22,245454545.5
DG027 #6,LB,0.01,1e-06,1e-05,2,4,25,26,259090909.1
DG027 #7,LB,0.01,1e-06,1e-05,1,0,22,17,181818181.8
DG027 #8,LB,0.01,1e-06,1e-05,5,0,22,17,200000000.0
DG027 #9,LB,0.01,1e-06,1e-05,2,1,18,21,190909090.9
DG027 #10,LB,0.01,1e-06,1e-05,2,0,14,19,159090909.1
DG027 #11,LB,0.01,1e-06,1e-05,2,0,21,22,204545454.5
DG028 #1,LB,0.01,1e-06,1e-05,6,5,35,27,331818181.8
DG028 #2,LB,0.01,1e-06,1e-05,7,6,30,31,336363636.4
DG028 #3,LB,0.01,1e-06,1e-05,4,2,37,37,363636363.6
DG028 #4,LB,0.01,1e-06,1e-05,7,1,20,27,250000000.0
DG028 #5,LB,0.01,1e-06,1e-05,0,0,0,0,0.0
DG028 #6,LB,0.01,1e-06,1e-05,0,0,0,0,0.0
DG028 #7,LB,0.01,1e-06,1e-05,2,5,32,30,313636363.6
DG028 #8,LB,0.01,1e-06,1e-05,2,3,32,21,263636363.6
DG028 #9,LB,0.01,1e-06,1e-05,3,9,30,23,295454545.5
DG028 #10,LB,0.01,1e-06,1e-05,2,4,30,37,331818181.8
DG028 #11,LB,0.01,1e-06,1e-05,3,4,26,26,268181818.2
SLM1042 #1,Kan,0.01,1.0,0.1,8,14,0,0,1000.0
SLM1042 #2,Kan,0.01,1.0,0.1,11,14,1,0,1181.818182
SLM1042 #3,Kan,0.01,1.0,0.1,5,4,0,0,409.0909091
SLM1042 #4,Kan,0.01,1.0,0.1,40,40,5,8,4227.272727
SLM1042 #5,Kan,0.01,1.0,0.1,6,6,1,2,681.8181818
SLM1042 #6,Kan,0.01,1.0,0.1,17,22,2,6,2136.363636
SLM1042 #7,Kan,0.01,1.0,0.1,1,3,0,0,181.8181818
SLM1042 #8,Kan,0.01,1.0,0.1,7,7,2,1,772.7272727
SLM1042 #9,Kan,0.01,1.0,0.1,7,9,1,1,818.1818182
SLM1042 #10,Kan,0.01,1.0,0.1,3,7,1,0,500.0
SLM1042 #11,Kan,0.01,1.0,0.1,4,5,2,0,500.0
SLM1043 #1,Kan,0.01,1.0,0.1,15,17,1,0,1500.0
SLM1043 #2,Kan,0.01,1.0,0.1,19,15,1,1,1636.363636
SLM1043 #3,Kan,0.01,1.0,0.1,26,28,5,4,2863.636364
SLM1043 #4,Kan,0.01,1.0,0.1,19,23,4,2,2181.818182
SLM1043 #5,Kan,0.01,1.0,0.1,21,24,2,0,2136.363636
SLM1043 #6,Kan,0.01,1.0,0.1,37,24,6,2,3136.363636
SLM1043 #7,Kan,0.01,1.0,0.1,35,34,3,4,3454.545455
SLM1043 #8,Kan,0.01,1.0,0.1,29,28,4,2,2863.636364
SLM1043 #9,Kan,0.01,1.0,0.1,21,31,1,3,2545.454545
SLM1043 #10,Kan,0.01,1.0,0.1,15,24,1,6,2090.909091
SLM1043 #11,Kan,0.01,1.0,0.1,40,38,11,13,4636.363636
DG024 #1,Kan,0.01,1.0,0.1,13,13,3,0,1318.181818
DG024 #2,Kan,0.01,1.0,0.1,22,20,1,1,2000.0
DG024 #3,Kan,0.01,1.0,0.1,29,26,5,2,2818.181818
DG024 #4,Kan,0.01,1.0,0.1,17,17,2,1,1681.818182
DG024 #5,Kan,0.01,1.0,0.1,21,23,5,0,2227.272727
DG024 #6,Kan,0.01,1.0,0.1,17,18,8,2,2045.454545
DG024 #7,Kan,0.01,1.0,0.1,14,17,5,3,1772.727273
DG024 #8,Kan,0.01,0.1,0.01,40,40,12,23,52272.72727
DG024 #9,Kan,0.01,1.0,0.1,15,18,0,1,1545.454545
DG024 #10,Kan,0.01,1.0,0.1,19,22,4,3,2181.818182
DG024 #11,Kan,0.01,1.0,0.1,31,31,8,2,3272.727273
DG026 #1,Kan,0.01,1.0,0.1,31,35,6,3,3409.090909
DG026 #2,Kan,0.01,1.0,0.1,20,14,1,2,1681.818182
DG026 #3,Kan,0.01,1.0,0.1,33,26,6,2,3045.454545
DG026 #4,Kan,0.01,1.0,0.1,30,27,2,9,3090.909091
DG026 #5,Kan,0.01,1.0,0.1,27,30,6,5,3090.909091
DG026 #5,Kan,0.01,1.0,0.1,27,30,6,5,3090.909091
DG026 #6,Kan,0.01,1.0,0.1,27,26,5,5,2863.636364
DG026 #7,Kan,0.01,1.0,0.1,28,28,2,0,2636.363636
DG026 #8,Kan,0.01,1.0,0.1,27,21,3,3,2454.545455
DG026 #9,Kan,0.01,1.0,0.1,25,28,5,1,2681.818182
DG026 #10,Kan,0.01,1.0,0.1,18,17,1,1,1681.818182
DG026 #11,Kan,0.01,1.0,0.1,23,32,5,4,2909.090909
DG027 #1,Kan,0.01,1.0,0.1,9,9,1,1,909.0909091
DG027 #2,Kan,0.01,1.0,0.1,4,7,1,1,590.9090909
DG027 #3,Kan,0.01,1.0,0.1,14,14,1,0,1318.181818
DG027 #4,Kan,0.01,1.0,0.1,7,11,3,0,954.5454545
DG027 #5,Kan,0.01,1.0,0.1,8,2,0,1,500.0
DG027 #6,Kan,0.01,1.0,0.1,5,6,0,1,545.4545455
DG027 #7,Kan,0.01,1.0,0.1,13,5,1,1,909.0909091
DG027 #8,Kan,0.01,1.0,0.1,9,7,1,1,818.1818182
DG027 #9,Kan,0.01,1.0,0.1,20,21,2,1,2000.0
DG027 #10,Kan,0.01,1.0,0.1,3,12,0,2,772.7272727
DG027 #11,Kan,0.01,1.0,0.1,8,6,0,1,681.8181818
DG028 #1,Kan,0.01,1.0,0.1,7,2,1,0,454.5454545
DG028 #2,Kan,0.01,1.0,0.1,11,8,2,3,1090.909091
DG028 #3,Kan,0.01,1.0,0.1,9,10,0,0,863.6363636
DG028 #4,Kan,0.01,1.0,0.1,9,12,2,2,1136.363636
DG028 #5,Kan,0.01,1.0,0.1,12,12,0,1,1136.363636
DG028 #6,Kan,0.01,0.01,0.1,0,2,13,11,11818.18182
DG028 #7,Kan,0.01,1.0,0.1,6,11,0,3,909.0909091
DG028 #8,Kan,0.01,1.0,0.1,23,16,1,1,1863.636364
DG028 #9,Kan,0.01,1.0,0.1,6,4,1,1,545.4545455
DG028 #10,Kan,0.01,1.0,0.1,6,8,0,1,681.8181818
DG028 #11,Kan,0.01,1.0,0.1,12,3,0,0,681.8181818
SLM1042 #8,LB,0.1,1e-05,1e-06,126,126,19,19,131818181.81818178
SLM1043 #9,LB,0.1,1e-05,1e-06,143,143,8,8,137272727.27272725
DG024 #6,LB,0.1,1e-05,1e-06,77,77,2,2,71818181.8181818
DG026 #6,LB,0.1,1e-05,1e-06,34,34,12,12,41818181.818181805
DG027 #8,LB,0.1,1e-05,1e-06,56,56,7,7,57272727.27272726
DG028 #7,LB,0.1,1e-05,1e-06,117,117,3,3,109090909.09090906
SLM1042 #8,Kan,0.1,1.0,0.1,56,56,5,5,554.5454545454545
SLM1043 #9,Kan,0.1,1.0,0.1,241,241,33,33,2490.9090909090905
DG024 #6,Kan,0.1,1.0,0.1,209,209,17,17,2054.545454545454
DG026 #6,Kan,0.1,1.0,0.1,442,442,39,39,4372.727272727272
DG027 #8,Kan,0.1,1.0,0.1,53,53,5,5,527.2727272727273
DG028 #7,Kan,0.1,10e-1,10e-2,76,76,16,16,836.3636363636363
